t,n
tenant_platform_credentials,0
support_tickets,0
support_ticket_replies,0
support_ticket_attachments,0
product_feedback_votes,0
planner_task_sync_log,0
planner_subscriptions,0
password_reset_tokens,0
outreach_campaign_resources,0
orbit_score_benchmarks,0
oauth_refresh_tokens,0
oauth_authorization_codes,0
oauth_api_audit,0
oauth_access_tokens,0
notifications,0
messages,0
marketing_product_tags,0
marketing_plan_bucket_mappings,0
manual_action_bonuses,0
integration_configs,0
email_suppressions,0
conversations,0
content_asset_product_tags,0
consultant_access,0
competitor_pricing_snapshots,0
competitor_positions,0
competitor_documents,0
campaign_solution_areas,0
brand_asset_product_tags,0
billing_events,0
ai_usage_alerts,0
website_connections,1
tenant_invites,1
tenant_fonts,1
product_feedback,1
outreach_settings,1
oauth_clients,1
marketing_performance_reports,2
conference_backgrounds,2
collaboration_comments,1
cadence_templates,3
briefing_subscriptions,1
annotations,1
analytics_connections,1
ai_configuration,1
scheduled_briefing_configs,2
outreach_send_ledger,24
content_optimizations,3
content_asset_solution_areas,3
collaboration_threads,2
assessments,2
ai_feature_model_assignments,2
solution_areas,3
gap_dismissals,3
rate_limit_buckets,0
cadence_steps,12
global_grounding_documents,5
email_sends,5
email_send_recipients,5
tenants,6
marketing_plans,8
domain_blocklist,8
campaign_brand_assets,25
social_account_voice_profiles,10
email_verification_tokens,10
relationship_reports,12
conference_images,22
grounding_documents,14
users,18
tracked_keywords,23
email_recipients,1
email_recipient_lists,1
hubspot_connections,1
conferences,4
outreach_campaigns,3
service_plans,5
generated_emails,7
brand_asset_solution_areas,4
editorial_calendars,19
conference_sessions,17
client_projects,18
reports,59
brand_asset_categories,81
user_sessions,3
social_accounts,10
project_products,90
_migrations,76
suggested_content_assets,48
competitor_engagement_snapshots,77
content_asset_categories,110
outreach_touches,38
campaign_assets,152
markets,58
brand_assets,78
competitor_scores,36
long_form_recommendations,120
campaign_social_accounts,136
campaigns,59
roadmap_items,93
intelligence_briefings,158
hubspot_contact_id_cache,136
social_metrics,166
executive_summaries,43
feature_recommendations,85
content_assets,209
global_platform_credentials,1
personas,52
email_sender_identities,2
social_publish_attempts,179
score_history,183
marketing_audit_log,190
product_battlecards,58
analytics_daily,477
analysis,97
company_profiles,57
products,102
prospects,263
product_features,576
manual_action_usage,785
ai_usage,679
content_briefs,191
marketing_tasks,520
orbit_scores,622
page_views,1033
battlecards,174
marketing_links,1046
recommendations,839
organizations,374
competitors,368
marketing_link_clicks,2868
activity,15849
seo_metrics,17680
generated_posts,1975
scheduled_job_runs,171011
