id,competitor_id,project_id,tenant_domain,overall_score,market_presence_score,innovation_score,pricing_score,feature_breadth_score,content_activity_score,social_engagement_score,trend_direction,trend_delta,previous_overall_score,score_breakdown,last_calculated_at,created_at,updated_at,market_id,product_id,entity_name
cf56b978-711a-4245-ae59-9691fb913f17,,98647de0-4773-4d77-b0e3-ac466ee4f464,synozur.com,60,50,98,50,50,50,50,stable,0,60,"{""pricing"": {""score"": 50, ""weight"": 0.1}, ""innovation"": {""score"": 98, ""weight"": 0.2}, ""featureBreadth"": {""score"": 50, ""weight"": 0.2}, ""marketPresence"": {""score"": 50, ""weight"": 0.25}, ""contentActivity"": {""score"": 50, ""weight"": 0.15}, ""socialEngagement"": {""score"": 50, ""weight"": 0.1}}",2026-01-24 19:51:54.369,2026-01-24 18:39:00.282662,2026-01-24 19:51:54.369,137db123-4906-4e61-af99-f0d23d86a622,dcc2f369-3d1a-42c1-ba33-61f2d3aefdca,Forecast
0f490f8d-ad4e-4d4c-803f-392ec932dc01,,98647de0-4773-4d77-b0e3-ac466ee4f464,synozur.com,60,50,98,50,50,50,50,stable,0,60,"{""pricing"": {""score"": 50, ""weight"": 0.1}, ""innovation"": {""score"": 98, ""weight"": 0.2}, ""featureBreadth"": {""score"": 50, ""weight"": 0.2}, ""marketPresence"": {""score"": 50, ""weight"": 0.25}, ""contentActivity"": {""score"": 50, ""weight"": 0.15}, ""socialEngagement"": {""score"": 50, ""weight"": 0.1}}",2026-01-24 19:51:54.431,2026-01-24 18:39:00.2097,2026-01-24 19:51:54.431,137db123-4906-4e61-af99-f0d23d86a622,f4790fae-3177-4da0-8bbb-3109d881ec90,Kantata
ed4d8583-eb57-4b3a-b941-a70fc4d73a11,,98647de0-4773-4d77-b0e3-ac466ee4f464,synozur.com,60,50,98,50,50,50,50,stable,0,60,"{""pricing"": {""score"": 50, ""weight"": 0.1}, ""innovation"": {""score"": 98, ""weight"": 0.2}, ""featureBreadth"": {""score"": 50, ""weight"": 0.2}, ""marketPresence"": {""score"": 50, ""weight"": 0.25}, ""contentActivity"": {""score"": 50, ""weight"": 0.15}, ""socialEngagement"": {""score"": 50, ""weight"": 0.1}}",2026-01-24 19:51:54.178,2026-01-24 18:39:00.408851,2026-01-24 19:51:54.178,137db123-4906-4e61-af99-f0d23d86a622,1589b234-0b8b-440b-99b8-bdfa8260cbce,Productive
992a4084-e06b-466e-becb-01d2fa0cd546,,98647de0-4773-4d77-b0e3-ac466ee4f464,synozur.com,50,50,50,50,50,50,50,stable,0,50,"{""pricing"": {""score"": 50, ""weight"": 0.1}, ""innovation"": {""score"": 50, ""weight"": 0.2}, ""featureBreadth"": {""score"": 50, ""weight"": 0.2}, ""marketPresence"": {""score"": 50, ""weight"": 0.25}, ""contentActivity"": {""score"": 50, ""weight"": 0.15}, ""socialEngagement"": {""score"": 50, ""weight"": 0.1}}",2026-01-24 19:51:54.243,2026-01-24 18:39:00.476342,2026-01-24 19:51:54.243,137db123-4906-4e61-af99-f0d23d86a622,95481f16-3350-4568-974d-742258bd0fde,Accelo
46e985f0-a534-4e56-a2d5-79391c927bcd,,98647de0-4773-4d77-b0e3-ac466ee4f464,synozur.com,60,50,98,50,50,50,50,stable,0,60,"{""pricing"": {""score"": 50, ""weight"": 0.1}, ""innovation"": {""score"": 98, ""weight"": 0.2}, ""featureBreadth"": {""score"": 50, ""weight"": 0.2}, ""marketPresence"": {""score"": 50, ""weight"": 0.25}, ""contentActivity"": {""score"": 50, ""weight"": 0.15}, ""socialEngagement"": {""score"": 50, ""weight"": 0.1}}",2026-01-24 19:51:54.305,2026-01-24 18:39:00.345571,2026-01-24 19:51:54.305,137db123-4906-4e61-af99-f0d23d86a622,701b623b-5679-43e8-ae32-9f7837a7d5f1,Mosaic
a457857d-32c8-4b1f-846e-48a6da457fec,,aab5d992-7976-4cde-addc-5d689002757f,synozur.com,64,66,98,50,50,50,50,stable,0,64,"{""pricing"": {""score"": 50, ""weight"": 0.1}, ""innovation"": {""score"": 98, ""weight"": 0.2}, ""featureBreadth"": {""score"": 50, ""weight"": 0.2}, ""marketPresence"": {""score"": 66, ""weight"": 0.25}, ""contentActivity"": {""score"": 50, ""weight"": 0.15}, ""socialEngagement"": {""score"": 50, ""weight"": 0.1}}",2026-01-24 23:05:47.449,2026-01-24 22:02:33.37728,2026-01-24 23:05:47.449,17daaca7-2a15-4f92-bbf3-c9a401ef36ac,81f8010e-725d-4364-9850-740b6ca133cf,Box
7effb8ce-c1ab-4cef-8e46-a797af863b17,,aab5d992-7976-4cde-addc-5d689002757f,synozur.com,63,64,98,50,50,50,50,stable,0,63,"{""pricing"": {""score"": 50, ""weight"": 0.1}, ""innovation"": {""score"": 98, ""weight"": 0.2}, ""featureBreadth"": {""score"": 50, ""weight"": 0.2}, ""marketPresence"": {""score"": 64, ""weight"": 0.25}, ""contentActivity"": {""score"": 50, ""weight"": 0.15}, ""socialEngagement"": {""score"": 50, ""weight"": 0.1}}",2026-01-24 23:05:47.518,2026-01-24 22:02:33.445408,2026-01-24 23:05:47.518,17daaca7-2a15-4f92-bbf3-c9a401ef36ac,6ee2d65c-f0b3-4e85-b406-3d863655104c,Documentum
3ae03d57-8b5d-4a18-ae8d-06b6b4f9f8dc,,aab5d992-7976-4cde-addc-5d689002757f,synozur.com,63,64,98,50,50,50,50,stable,0,63,"{""pricing"": {""score"": 50, ""weight"": 0.1}, ""innovation"": {""score"": 98, ""weight"": 0.2}, ""featureBreadth"": {""score"": 50, ""weight"": 0.2}, ""marketPresence"": {""score"": 64, ""weight"": 0.25}, ""contentActivity"": {""score"": 50, ""weight"": 0.15}, ""socialEngagement"": {""score"": 50, ""weight"": 0.1}}",2026-01-24 23:05:47.583,2026-01-24 22:02:33.511657,2026-01-24 23:05:47.583,17daaca7-2a15-4f92-bbf3-c9a401ef36ac,e6d321bf-b40b-47ce-9393-d8e3c0eee06f,Laserfiche
13f6bf63-5ba0-4718-bc0d-2bda72a56e0d,,aab5d992-7976-4cde-addc-5d689002757f,synozur.com,63,64,98,50,50,50,50,stable,0,63,"{""pricing"": {""score"": 50, ""weight"": 0.1}, ""innovation"": {""score"": 98, ""weight"": 0.2}, ""featureBreadth"": {""score"": 50, ""weight"": 0.2}, ""marketPresence"": {""score"": 64, ""weight"": 0.25}, ""contentActivity"": {""score"": 50, ""weight"": 0.15}, ""socialEngagement"": {""score"": 50, ""weight"": 0.1}}",2026-01-24 23:05:47.648,2026-01-24 22:02:33.575186,2026-01-24 23:05:47.648,17daaca7-2a15-4f92-bbf3-c9a401ef36ac,307017ea-f32c-4132-9503-c88c74cd1015,Alfresco
17d7f356-f87c-4753-81e2-a300b3c37090,,aab5d992-7976-4cde-addc-5d689002757f,synozur.com,60,50,98,50,50,50,50,stable,0,60,"{""pricing"": {""score"": 50, ""weight"": 0.1}, ""innovation"": {""score"": 98, ""weight"": 0.2}, ""featureBreadth"": {""score"": 50, ""weight"": 0.2}, ""marketPresence"": {""score"": 50, ""weight"": 0.25}, ""contentActivity"": {""score"": 50, ""weight"": 0.15}, ""socialEngagement"": {""score"": 50, ""weight"": 0.1}}",2026-01-24 23:05:47.714,2026-01-24 22:02:33.639986,2026-01-24 23:05:47.714,17daaca7-2a15-4f92-bbf3-c9a401ef36ac,f2aef040-b96c-44ac-9155-5aac1e91b52c,SharePoint
