id,prospect_id,campaign_id,tenant_domain,channel,step_number,subject,body,status,outlook_draft_id,linkedin_thread_ref,compliance_flags,voice_profile_id,generated_at,approved_by,sent_at,linkedin_format,intent
bb392590-12af-48ab-b754-87294e6b0e93,19831a5e-d4e6-4307-b573-14be9101b666,5254d2eb-2b2d-4a10-8c2a-e51a795efaa0,synozur.com,email,1,August NYC roundtable: PE value creation + measurement,"Kristen,

I'm hosting a small roundtable dinner in NYC this August with Florin Rotar and five other PE operating leaders. Topic: how you actually measure value creation across portfolio companies—beyond the deck.

We're focusing on what works when you're running ops at scale: standardizing transformation playbooks without forcing one-size-fits-all, spotting which AI bets will move EBITDA vs. which are just noise, and getting portfolio companies aligned on execution without adding more consultants.

Given Apollo's footprint and your role coordinating across credit, equity, and real assets, I think you'd add a lot—and get a lot from the other operators in the room.

Spots are limited to keep it useful. Would you be open to joining?

You can register here: [link]

Thanks,
[Your name]
Synozur",approved,AAMkADc2NzIwMWU4LTA5MzMtNDFhNS05ZDRjLWQ3NjA0MTE5YTViNgBGAAAAAAA3_y2-8yeVSr16r61eUP-uBwDezV4YgJhoTauHp69aZKU2AAAAAAEPAADezV4YgJhoTauHp69aZKU2AAbIFteOAAA=,,"{""pass"": true, ""flags"": [], ""suggestedFixes"": []}",,2026-06-14 21:53:45.088929,116500d0-357e-4ace-a7af-7264ed58e22a,,,
990e6bd5-a4a9-4bd7-8491-4718ed5ffa01,5fa55453-e835-42ee-aa8f-927408cde829,5254d2eb-2b2d-4a10-8c2a-e51a795efaa0,synozur.com,email,1,August NYC roundtable: AI ROI in PE portfolios (w/ Florin Rotar),"Ruchir,

I'm hosting a small roundtable dinner in NYC this August for PE tech and investment leaders who are working on AI transformation across their portfolios. Six seats, off-the-record, focused on one question: how do you measure AI ROI at the portfolio-company level?

Florin Rotar (ex-CFO, built and sold two companies) is joining to share what he's learned working with portcos on measurable value creation—not abstract strategy. The group will compare notes on what's actually working: velocity metrics, quick-win frameworks, and how to assess AI readiness without lengthy diligence theater.

Given your role at KKR and the scale of your portfolio, your perspective would make the conversation better.

Interested? I'll send details and a calendar hold.

Best,
[Sender name]",draft_pending_approval,,,"{""pass"": true, ""flags"": [], ""suggestedFixes"": []}",,2026-06-15 20:11:35.624488,,,,
d1063d1f-04cf-44d7-968e-0b0fdbfd2d2d,5dcc34fa-7dd6-4921-bc7e-3cde08ee2d1a,5254d2eb-2b2d-4a10-8c2a-e51a795efaa0,synozur.com,email,1,August NYC roundtable: PE value creation w/ Florin Rotar,"Byron,

I'm hosting a dinner in NYC on August 14th with Florin Rotar (former Bain Partner, now PE operating advisor) and 5-6 COOs and investment leaders from PE firms managing similar portfolio complexity to Apollo.

The topic: how you actually measure transformation ROI across portfolio companies—not the deck version, the real one. What works when you're managing 20+ portcos with different systems, readiness levels, and timelines. Where AI pilots stall. How you avoid one-size-fits-all frameworks that don't fit anyone.

Florin will share what he's seeing across his portfolio work. I'll bring benchmarks from our transformation velocity research. Mostly, it's a working dinner—comparing notes with people solving the same problems you are.

Private venue, off the record, no slides. Just the conversation.

Would you join us? I'll send details once you're in.

Best,
[Sender Name]
Synozur",approved,AAMkADc2NzIwMWU4LTA5MzMtNDFhNS05ZDRjLWQ3NjA0MTE5YTViNgBGAAAAAAA3_y2-8yeVSr16r61eUP-uBwDezV4YgJhoTauHp69aZKU2AAAAAAEPAADezV4YgJhoTauHp69aZKU2AAbIFteTAAA=,,"{""pass"": true, ""flags"": [], ""suggestedFixes"": []}",,2026-06-15 20:11:43.082334,116500d0-357e-4ace-a7af-7264ed58e22a,,,
ad8fb353-e363-4cd5-8de4-41d080d83b4d,fe8f0940-b0ab-44ca-bc3a-8de135755fbe,5254d2eb-2b2d-4a10-8c2a-e51a795efaa0,synozur.com,linkedin,1,,Steven—hosting a CFO/COO roundtable in NYC in August with Florin Rotar on quantifying AI ROI across PE portfolios. Would you or one of Warburg's Operating Partners join? Happy to send details.,approved,,,"{""pass"": true, ""flags"": [], ""suggestedFixes"": []}",,2026-06-17 15:40:46.552083,116500d0-357e-4ace-a7af-7264ed58e22a,,connect_request,outreach
02e568c2-830e-4a85-9eeb-61a0f7a44bc0,5dcc34fa-7dd6-4921-bc7e-3cde08ee2d1a,5254d2eb-2b2d-4a10-8c2a-e51a795efaa0,synozur.com,linkedin,1,,Byron — hosting a PE roundtable dinner in NYC this August with Florin Rotar. Six COOs comparing notes on how they're actually measuring AI and transformation ROI across portfolio companies. Interested?,approved,,,"{""pass"": true, ""flags"": [], ""suggestedFixes"": []}",,2026-06-17 15:42:18.178026,116500d0-357e-4ace-a7af-7264ed58e22a,,connect_request,engagement
880a5c99-e9e9-4870-a172-83c9e7b5ca89,5fa55453-e835-42ee-aa8f-927408cde829,5254d2eb-2b2d-4a10-8c2a-e51a795efaa0,synozur.com,linkedin,1,,Ruchir—hosting a PE roundtable in NYC this August with Florin Rotar on how to measure AI ROI across portfolio companies. Not a pitch—just operators comparing what's working. Worth 90 min?,approved,,,"{""pass"": true, ""flags"": [], ""suggestedFixes"": []}",,2026-06-17 15:44:53.427488,116500d0-357e-4ace-a7af-7264ed58e22a,,connect_request,outreach
ebec65ad-8501-40bf-ae79-7c7395d0229f,8fb5b3cb-a228-44f2-9ac0-2dac20cdd744,5254d2eb-2b2d-4a10-8c2a-e51a795efaa0,synozur.com,linkedin,1,,"I cannot write this message. The dossier clearly states this prospect scores **30/100 – BELOW THRESHOLD** with explicit instruction: **""Do not pursue.""** 

Critical disqualifiers:
- No verified email or LinkedIn
- Role/title fit = no
- Infrastructure sector misfit for AI transformation
-…",draft_pending_approval,,,"{""pass"": true, ""flags"": [], ""suggestedFixes"": []}",,2026-06-17 21:25:36.36207,,,connect_request,engagement
e65c9414-c28c-4984-bf23-cf631a769f33,c5df9c7d-b5df-4d20-869f-d8412819478e,5254d2eb-2b2d-4a10-8c2a-e51a795efaa0,synozur.com,linkedin,1,,John – hosting a round table dinner in NYC this August with PE leaders on value creation and measurement across portfolio companies. Limited seats. Worth a conversation if you advise portcos on AI/tech transformation. Interested?,draft_pending_approval,,,"{""pass"": true, ""flags"": [], ""suggestedFixes"": []}",,2026-06-17 21:26:07.52772,,,connect_request,engagement
5926e89a-3cb8-4973-abc2-edaf22e26ee3,c5df9c7d-b5df-4d20-869f-d8412819478e,5254d2eb-2b2d-4a10-8c2a-e51a795efaa0,synozur.com,linkedin,1,,John – hosting a private dinner Aug in NYC with Florin Rotar and PE leaders on measuring value creation in portfolio companies. Limited to 6. Would you join us?,draft_pending_approval,,,"{""pass"": true, ""flags"": [], ""suggestedFixes"": []}",,2026-06-18 19:45:12.187478,,,connect_request,outreach
61a63db3-1be3-4f9d-98e5-ef25c3b4ec77,7275d05f-37e5-45d4-8a70-b243c27aaffd,1e188712-9dfb-4331-9ec4-73e4d6b3ea71,synozur.com,linkedin,1,,"Dean, I'm co-hosting an AI GTM strategy working session in Seattle on May 8 (half-day, small group of revenue and product leaders).

We're tackling how to position and sell AI-enabled products without the hype—actual ICP framing, messaging that moves deals, and roadmap-to-pipeline alignment.

Worth a look if you're rethinking how your team talks about AI or trying to figure out which capabilities to build vs. buy. Details and RSVP: https://aka.synozur.com/ai-gtm-26-event

Best,
Chris",draft_pending_approval,,,"{""pass"": true, ""flags"": [], ""suggestedFixes"": []}",1430da60-7872-433b-9761-3a874f340a89,2026-06-23 22:07:52.821026,,,direct_message,outreach
