id,tenant_domain,market_id,keyword_id,entity_type,entity_id,entity_name,entity_domain,rank,estimated_traffic,share_of_voice,captured_at
00062ae2-97c9-47d4-94ff-04710806f180,synozur.com,,b07da724-1700-41fd-ae31-81e2d0dc5aec,competitor,c37c4fd7-fa11-4147-95b6-2e401489de19,Slalom,slalom.com,4,750,1008,2026-06-27 17:58:44.438468
000c2dc1-b62f-48ee-b448-5a0cbb68382b,synozur.com,0ac8db60-16c4-4665-a8f3-e4655a5a29b5,706108a1-dfe0-4cf2-91b6-19f8417e23e3,baseline,e36e5aa3-52f3-43d0-853c-180b8a04d3b3,ClearPeople,clearpeople.com,3,1100,1685,2026-06-24 05:38:18.472068
000d2bb0-9156-4cb5-9780-48176f91dcc3,synozur.com,,5e2b1197-eaf5-49e8-9db1-41666c100d07,competitor,083e0f08-61d1-415a-a97e-839f30139987,Point B,pointb.com,7,280,399,2026-06-18 04:25:39.07715
0013675f-9245-4206-a22d-bab52811dc9f,synozur.com,,b07da724-1700-41fd-ae31-81e2d0dc5aec,competitor,ff3f7fb9-9972-4004-aa14-4001ca74ad8d,Avanade,avanade.com,8,210,282,2026-06-30 12:15:59.750991
001394ae-1b64-4cc6-8e07-2f4a66e28804,synozur.com,7f49f485-e251-4e51-8114-cce62e5ce6a9,c5bee1b8-cd9d-4bac-bd83-06da970ccf02,baseline,1b529111-c936-4c2a-abc5-5b596fb15352,AIIM - The Association for Intelligent Information Management,aiim.org,2,1800,3571,2026-06-23 20:40:36.827811
00139b38-fe99-42f0-96b9-3a0235a04e66,synozur.com,,b07da724-1700-41fd-ae31-81e2d0dc5aec,competitor,f6c55d87-9047-49ba-b332-7fe2c727c47d,Ninety,ninety.io,12,70,93,2026-06-07 18:35:41.900287
0014af90-01f2-4eda-bf87-fa471f527b01,synozur.com,7f49f485-e251-4e51-8114-cce62e5ce6a9,c5bee1b8-cd9d-4bac-bd83-06da970ccf02,competitor,06ad74d6-1d3a-4ca8-9a22-6a88b9dc13ca,IIIM - Institute of Information Management,iim.org.uk,5,520,1032,2026-05-31 06:03:56.976183
001ea3f4-97ff-4ecf-b4d5-f6a57de87cb6,synozur.com,0ac8db60-16c4-4665-a8f3-e4655a5a29b5,8e3f4d43-dc70-4cd9-9294-cffebfaae7bc,baseline,e36e5aa3-52f3-43d0-853c-180b8a04d3b3,ClearPeople,clearpeople.com,3,1100,1321,2026-06-20 18:45:05.946004
001f8536-3df7-4195-bb29-fda1773aa663,synozur.com,,f0c83c3f-afb9-402b-ba25-b314903d2a1a,baseline,37d74323-ec27-4651-bf69-7bd164c175cf,The Synozur Alliance,synozur.com,10,120,153,2026-06-24 05:36:10.506007
0020aa58-95d6-4b32-911c-7ff8ff640344,synozur.com,ea07a669-2e2b-4dbc-84fd-42f0009d0955,58d56fab-2d51-44ec-ae0e-3ba8da88b4cb,competitor,2afad96e-6670-4eff-b02e-4cb2cbbdf86e,Choctaw Nation of Oklahoma,choctawnation.com,6,380,456,2026-06-10 05:48:18.767008
