id,competitor_id,tenant_domain,platform,period,followers,followers_delta,posts,posts_delta,engagement,engagement_delta,mentions,mentions_delta,raw_data,captured_at,created_at,market_id
4df6e02f-06aa-49e0-8888-35beecf64712,43e55426-39b1-4203-9394-fa02a08d21a9,synozur.com,linkedin,2026-01-24,16535,0,5,0,52,0,0,0,,2026-01-24 14:38:38.859872,2026-01-24 14:38:38.859872,137db123-4906-4e61-af99-f0d23d86a622
9b4423d8-60f2-4746-a6dc-70938ac3c93d,c51d0c96-92cd-4122-8f43-f87cff91b83e,synozur.com,linkedin,2026-01-24,8511,0,5,0,20,0,0,0,,2026-01-24 15:14:21.067434,2026-01-24 15:14:21.067434,5428db01-79b3-4487-a2b2-0e63327f2510
21961c6b-3871-4484-9fd7-78a4226b20ac,58fba9b0-6167-4cbf-83bf-dd315a8c9351,synozur.com,linkedin,2026-01-24,10691,0,5,0,55,0,0,0,,2026-01-24 15:48:47.040846,2026-01-24 15:48:47.040846,5428db01-79b3-4487-a2b2-0e63327f2510
61d416e2-bb1a-4c7b-9ed2-d0f50ed9529c,115d22b8-c03c-4c3e-8093-e53399240505,synozur.com,linkedin,2026-01-24,11697,0,5,0,53,0,0,0,,2026-01-24 17:33:59.126165,2026-01-24 17:33:59.126165,137db123-4906-4e61-af99-f0d23d86a622
4afb91e2-1197-4f33-855d-17ddd2f45db5,f6c55d87-9047-49ba-b332-7fe2c727c47d,synozur.com,linkedin,2026-01-24,22281,0,5,0,79,0,0,0,,2026-01-24 17:34:48.683802,2026-01-24 17:34:48.683802,137db123-4906-4e61-af99-f0d23d86a622
9eef2e51-cd9c-46a2-a136-8eefc5a64256,5d97db8e-ead9-4adf-9900-3f9ad1f4d75f,synozur.com,linkedin,2026-01-24,524286,0,5,0,407,0,0,0,,2026-01-24 21:56:56.680843,2026-01-24 21:56:56.680843,17daaca7-2a15-4f92-bbf3-c9a401ef36ac
be323c46-fe1e-4e0c-8c71-b7d0d847a708,c83f84b7-7663-4135-a40f-a41f3739b943,synozur.com,linkedin,2026-01-24,126023,0,5,0,283,0,0,0,,2026-01-24 21:57:04.383615,2026-01-24 21:57:04.383615,17daaca7-2a15-4f92-bbf3-c9a401ef36ac
36835c82-40b7-45a5-8133-05791bb902eb,77dacf19-2b7f-4c52-9005-ad03b0703f19,synozur.com,linkedin,2026-01-26,643429,0,5,0,1046,0,0,0,,2026-01-26 10:28:24.595416,2026-01-26 10:28:24.595416,5d149a37-4d48-4ada-994a-eff6cc41c995
8d3d70d6-9e0a-458a-854c-3fbe7ab8ecaa,77dacf19-2b7f-4c52-9005-ad03b0703f19,synozur.com,linkedin,2026-01-26,643429,0,5,0,1046,0,0,0,,2026-01-26 10:29:23.833371,2026-01-26 10:29:23.833371,5d149a37-4d48-4ada-994a-eff6cc41c995
52b7898a-83e0-481d-bed1-13fd1f1dee18,b78cc944-49b8-4da8-8ad4-8c456fc9376e,synozur.com,linkedin,2026-01-26,1615225,0,5,0,2422,0,0,0,,2026-01-26 10:36:53.60213,2026-01-26 10:36:53.60213,5d149a37-4d48-4ada-994a-eff6cc41c995
9fcdcb6c-0c19-453f-a206-401c069342f3,7a54fe13-a27c-48e9-9d4f-70dd6aa3f31b,synozur.com,linkedin,2026-01-26,2710,0,5,0,40,0,0,0,,2026-01-26 18:07:03.460502,2026-01-26 18:07:03.460502,5428db01-79b3-4487-a2b2-0e63327f2510
