id,post_id,social_account_id,tenant_domain,platform,status,published_url,error_code,error_message,response_payload,attempted_at,attempted_by
5805a23a-e2dc-47fa-8f59-82c27626b38e,f2a63065-1908-4aa2-bc61-80b8e3021f9e,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,synozur.com,linkedin,retry_scheduled,,mcp_error,LinkedIn MCP publish failed: MCP error,,2026-06-22 18:39:50.152573,
190472c5-71aa-49f3-848a-0618dea93eed,f2a63065-1908-4aa2-bc61-80b8e3021f9e,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,synozur.com,linkedin,success,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7474914410789007360/,,,"{""id"": ""urn:li:share:7474914410789007360""}",2026-06-22 20:01:13.171166,116500d0-357e-4ace-a7af-7264ed58e22a
8adc0545-8ab7-4c94-87b2-304619f25044,04c50b70-e77d-40ea-a9c7-14d5b8db4def,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,synozur.com,linkedin,success,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7474967062545715201/,,,"{""id"": ""urn:li:share:7474967062545715201""}",2026-06-22 23:30:26.097575,116500d0-357e-4ace-a7af-7264ed58e22a
c0e35991-7da8-4511-a543-b248013e84a9,23ee1d69-66a0-42c5-92df-9e812b74d433,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,synozur.com,linkedin,retry_scheduled,,http_400,com.linkedin.content.common.exception.BadRequestResponseException: One or more of the contents is not owned by the author. All contents must be owned by the author,"{""status"": 400, ""message"": ""com.linkedin.content.common.exception.BadRequestResponseException: One or more of the contents is not owned by the author. All contents must be owned by the author"", ""errorDetails"": {""inputErrors"": [{""code"": ""INVALID_CONTENT_OWNERSHIP"", ""input"": {}, ""description"": ""Content(s) you provided must be owned by post author""}]}, ""errorDetailType"": ""com.linkedin.common.error.BadRequest""}",2026-06-23 00:40:18.401642,
cd34e761-e77c-49ff-b89d-1f2ce0bd9314,23ee1d69-66a0-42c5-92df-9e812b74d433,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,synozur.com,linkedin,success,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7475004694747287552/,,,"{""urn"": ""urn:li:ugcPost:7475004694747287552""}",2026-06-23 01:59:58.375668,116500d0-357e-4ace-a7af-7264ed58e22a
e76ea8da-204a-4e38-aed7-62adaec3f72c,fc0dc8e2-0d80-441a-a955-24fc0fff9163,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,synozur.com,linkedin,retry_scheduled,,carousel_upload_failed,Carousel PDF failed to upload to LinkedIn — check that the slide image URLs are reachable.,,2026-06-23 04:16:05.678063,
bf76fe09-1f9e-4c99-baa4-4529bf73b81d,fc0dc8e2-0d80-441a-a955-24fc0fff9163,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,synozur.com,linkedin,retry_scheduled,,carousel_upload_failed,Carousel PDF failed to upload to LinkedIn — check that the slide image URLs are reachable.,,2026-06-23 07:24:08.670436,
7c482655-43f8-4422-9b92-9449f04b393e,837bd729-5fe9-4893-b086-91f55acd6448,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,synozur.com,linkedin,success,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7475146255338270721/,,,"{""urn"": ""urn:li:ugcPost:7475146255338270721""}",2026-06-23 11:22:29.079001,116500d0-357e-4ace-a7af-7264ed58e22a
91d984dd-c0d9-43b1-9ee6-94b97800e745,998fee5a-7ffd-42c6-a1d7-16a5893bc523,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,synozur.com,linkedin,success,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7475567765961994240/,,,"{""urn"": ""urn:li:share:7475567765961994240""}",2026-06-24 15:17:25.648915,116500d0-357e-4ace-a7af-7264ed58e22a
295a037d-0bef-4c5e-944a-60fbb99aecbb,8ac77a0c-8bbe-4164-a9e4-4626f9a3a0ca,f7e9fed0-4ed0-467e-ac02-bf140adae7ed,synozur.com,twitter,retry_scheduled,,credits,Your enrolled account [2070202344629809152] does not have any credits to fulfill this request.,"{""type"": ""https://api.twitter.com/2/problems/credits"", ""title"": ""CreditsDepleted"", ""detail"": ""Your enrolled account [2070202344629809152] does not have any credits to fulfill this request."", ""account_id"": 2070202344629809200}",2026-06-25 18:33:49.500859,
